#{"t_start": 1610356255.300316, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,438.13912
0.0,129,439.088678
5.0,328,441.754387
0.0,123,442.675843
2.0,201,444.26828
3.0,250,446.228912
1.0,176,447.56445
0.0,129,448.532215
1.0,173,449.862961
5.0,352,452.756674
1.0,157,453.990028
1.0,175,455.327959
5.0,343,458.031218
2.0,201,459.657968
1.0,173,461.027357
0.0,129,461.99177
2.0,200,463.604845
2.0,220,465.341779
0.0,127,466.318116
3.0,253,468.342377
4.0,265,470.394147
0.0,127,471.331259
1.0,176,472.659439
1.0,173,473.972292
1.0,173,475.344312
3.0,251,477.329232
0.0,129,478.29067
0.0,127,479.244718
2.0,222,480.977027
0.0,125,481.912106
1.0,150,483.06662
4.0,282,485.368449
0.0,129,486.383024
3.0,248,488.36163
3.0,254,490.394813
2.0,224,492.13217
0.0,127,493.073304
0.0,127,494.071665
2.0,200,495.681139
1.0,173,496.992911
4.0,298,499.293515
0.0,127,500.238088
2.0,219,501.932043
0.0,129,502.91569
0.0,127,503.879031
0.0,129,504.844361
0.0,127,505.763858
0.0,127,506.744095
2.0,217,508.453376
2.0,202,509.996363
1.0,157,511.161086
0.0,129,512.084713
3.0,268,514.164193
0.0,127,515.124094
0.0,129,516.115242
0.0,125,517.092474
0.0,129,518.145207
2.0,187,519.648141
0.0,123,520.580684
0.0,127,521.543063
1.0,157,522.747258
1.0,157,523.96302
2.0,186,525.427381
1.0,175,526.813313
1.0,153,527.997459
1.0,155,529.200667
6.0,383,532.28597
5.0,370,535.279175
0.0,125,536.18271
1.0,176,537.572571
2.0,219,539.315334
4.0,291,541.616712
1.0,173,542.95501
0.0,129,543.939228
4.0,302,546.337815
2.0,202,547.928129
0.0,129,548.883487
0.0,127,549.833302
3.0,230,551.61576
2.0,206,553.259342
0.0,125,554.211922
1.0,157,555.397514
0.0,127,556.330846
1.0,155,557.459471
3.0,248,559.379838
0.0,123,560.328461
4.0,302,562.692771
3.0,232,564.506545
1.0,155,565.726628
1.0,153,566.919081
0.0,129,567.884399
0.0,129,568.826219
0.0,129,569.831698
0.0,127,570.795654
0.0,125,571.727993
3.0,248,573.73185
3.0,272,575.92462
0.0,129,576.882452
2.0,198,578.420649
1.0,174,579.798335
0.0,125,580.731317
0.0,129,581.70338
2.0,218,583.413243
0.0,127,584.372196
2.0,223,586.141462
2.0,222,587.852947
0.0,129,588.821895
0.0,127,589.795018
0.0,127,590.781658
2.0,200,592.388213
0.0,129,593.367924
6.0,398,596.637681
1.0,173,597.999519
3.0,267,600.1018
4.0,321,602.746581
1.0,178,604.116688
0.0,127,605.07787
1.0,176,606.433606
0.0,125,607.401264
2.0,184,608.861042
3.0,247,610.873706
5.0,348,613.664474
1.0,176,615.016248
4.0,300,617.392956
0.0,127,618.317037
1.0,155,619.541182
1.0,173,620.811847
3.0,272,622.95141
0.0,125,623.896401
3.0,253,625.910004
3.0,252,627.85553
4.0,278,630.060354
1.0,178,631.449183
4.0,300,633.821124
1.0,173,635.179034
0.0,129,636.162437
2.0,198,637.704927
0.0,129,638.652079
0.0,129,639.630811
1.0,177,641.018313
3.0,276,643.215005
0.0,125,644.140561
1.0,175,645.476161
