#{"t_start": 1610715421.3973684, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,222,447.013053
0.0,125,452.222417
1.0,155,458.663805
0.0,127,464.111628
5.0,354,942.352233
1.0,153,948.269728
1.0,155,954.311298
4.0,325,1425.960852
3.0,252,1435.467945
4.0,281,1911.000721
1.0,157,1917.860534
1.0,173,1924.53067
3.0,268,2393.508559
3.0,232,2403.36165
2.0,204,2411.892117
0.0,125,2416.917397
0.0,127,2882.156827
1.0,157,2888.103163
0.0,129,2893.181247
1.0,175,2900.100882
2.0,218,3353.592673
2.0,185,3361.432361
0.0,127,3366.504797
1.0,173,3373.885231
1.0,155,3825.408796
1.0,175,3832.804367
2.0,220,3841.683639
1.0,157,3848.045653
3.0,274,4276.660601
0.0,129,4281.986207
2.0,204,4290.342833
0.0,127,4295.489223
0.0,123,4759.389341
1.0,157,4765.576922
0.0,129,4771.324153
0.0,125,4776.067826
4.0,275,5242.532579
1.0,153,5247.946168
0.0,129,5252.961239
4.0,301,5264.873127
1.0,174,5698.373597
0.0,127,5703.530561
4.0,285,5715.65734
4.0,280,6159.073978
0.0,125,6164.004955
7.0,323,6177.177845
2.0,207,6654.881898
13.0,455,6674.905584
1.0,173,7131.462511
2.0,223,7140.268131
2.0,187,7148.060024
1.0,155,7577.857437
3.0,251,7588.741696
0.0,129,7594.437341
2.0,202,7603.201287
0.0,127,8053.275074
3.0,275,8064.357795
0.0,127,8069.153971
1.0,155,8075.592551
0.0,127,8533.094185
0.0,127,8538.379347
0.0,127,8543.377015
1.0,173,8550.633068
0.0,127,8555.771665
0.0,125,9021.770619
1.0,174,9028.200633
1.0,176,9035.457656
1.0,173,9041.641005
3.0,250,9504.278062
0.0,129,9509.173614
2.0,222,9518.860105
2.0,200,9979.230404
1.0,157,9985.996424
1.0,172,9992.526785
1.0,173,9999.472594
0.0,127,10004.324245
0.0,129,10476.185621
3.0,235,10487.643758
3.0,232,10498.565492
5.0,347,11011.15292
0.0,127,11016.406881
0.0,127,11021.57967
1.0,155,11028.708392
1.0,173,11484.150023
2.0,205,11492.710826
0.0,129,11498.156042
3.0,248,11958.20874
1.0,175,11966.44892
0.0,127,11972.112481
0.0,127,11977.862674
0.0,127,11983.525418
1.0,154,12491.21313
0.0,127,12496.999971
0.0,127,12502.572547
4.0,301,12515.823431
0.0,129,12971.611168
0.0,125,12977.041637
0.0,127,12982.739192
0.0,129,12988.501487
4.0,315,13471.858398
0.0,125,13476.949294
2.0,224,13487.158871
6.0,220,13497.312718
1.0,171,13975.143167
1.0,171,13983.388852
1.0,173,13991.368306
2.0,184,14447.502515
1.0,158,14454.287593
0.0,127,14459.802151
0.0,129,14465.137226
0.0,129,14470.89022
0.0,129,14476.538795
6.0,380,14931.173292
0.0,125,14935.804415
1.0,173,15367.014637
0.0,127,15372.236137
0.0,127,15377.770243
0.0,127,15382.730271
1.0,175,15390.304215
1.0,157,15808.961663
0.0,129,15814.34594
1.0,175,15820.356459
1.0,175,15827.411432
0.0,127,15831.53523
1.0,173,16240.223619
3.0,247,16249.426437
0.0,129,16253.85273
11.0,496,16689.258575
1.0,154,16695.389467
1.0,173,16702.607093
11.0,496,17149.780916
1.0,171,17156.599687
0.0,129,17598.123462
1.0,172,17604.268414
1.0,175,17610.671054
2.0,188,17617.724514
0.0,129,18042.878738
2.0,222,18052.232466
2.0,202,18060.541094
0.0,125,18065.386717
2.0,200,18521.41406
0.0,127,18525.575865
0.0,127,18530.423825
0.0,129,18535.175695
1.0,173,18959.402254
3.0,253,18969.269604
2.0,223,18977.825737
1.0,174,19423.194001
1.0,153,19428.81892
1.0,174,19435.873745
1.0,158,19441.948222
3.0,270,19880.471251
0.0,123,19884.734384
0.0,127,19889.043184
1.0,173,19895.455543
0.0,129,19899.77427
0.0,125,20321.437269
0.0,125,20326.381965
0.0,127,20330.592627
1.0,176,20337.486994
1.0,172,20343.546782
0.0,127,20767.685054
1.0,174,20774.28861
0.0,123,20779.029239
1.0,159,20785.41181
0.0,129,21221.257022
3.0,250,21230.713401
2.0,220,21239.756636
2.0,200,21669.983176
3.0,251,21679.116571
1.0,169,21685.581529
2.0,202,21692.460185
2.0,222,22125.893247
0.0,127,22129.916473
0.0,127,22134.605307
0.0,125,22138.987755
6.0,379,22577.356987
1.0,155,22583.594844
0.0,127,22588.63825
1.0,155,23035.321543
1.0,169,23042.409797
0.0,127,23047.613166
0.0,127,23052.45394
0.0,129,23057.680939
0.0,129,23497.292878
0.0,129,23502.255816
0.0,127,23506.781835
1.0,169,23513.652539
1.0,176,23519.836745
0.0,125,23951.98095
0.0,125,23956.501334
1.0,173,23963.280119
9.0,404,24369.336924
0.0,127,24373.600702
0.0,129,24378.275345
4.0,297,24389.831804
0.0,127,24808.735996
3.0,246,24817.950638
0.0,129,24822.708266
0.0,129,24827.436136
5.0,350,25295.991837
5.0,350,25310.309272
0.0,127,25741.175677
0.0,129,25745.883042
0.0,129,25749.993682
0.0,129,25754.368262
3.0,248,26146.880497
0.0,125,26151.753077
0.0,125,26155.816241
6.0,397,26598.11892
0.0,127,26602.48296
0.0,127,26607.166483
0.0,127,26611.28515
3.0,248,26620.522738
5.0,350,27073.696589
2.0,202,27082.208275
0.0,127,27087.207576
0.0,129,27521.021363
0.0,127,27525.055948
0.0,125,27529.630082
6.0,399,27944.162498
0.0,129,27949.31938
2.0,200,27956.729151
4.0,297,28356.620555
0.0,127,28361.485572
4.0,299,28373.148402
0.0,127,28377.965901
11.0,484,28802.693146
0.0,127,28807.338595
0.0,127,28812.688968
2.0,200,29287.335538
3.0,271,29298.379607
0.0,127,29303.214648
10.0,431,29752.788246
2.0,202,29759.832475
0.0,127,30170.777602
2.0,200,30178.371057
0.0,129,30182.932589
4.0,297,30194.476598
0.0,127,30622.205721
9.0,382,30636.701812
5.0,350,31096.22145
2.0,202,31104.660782
9.0,404,31528.003722
5.0,350,31541.966998
0.0,127,31546.326002
0.0,129,31940.973963
4.0,297,31952.484952
0.0,129,31956.593232
2.0,200,32360.931824
