fps,policy_entropy,value_loss,atten_encoder_loss,reconstruct_loss,nupdates,total_timesteps,policy_loss,contrastive_loss,atten_decoder_loss,explained_variance,ep_len_mean,ep_reward_mean,fps_eval,total_timesteps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
15,1.2585256099700928,0.00332552008330822,0.017022719606757164,0.015390333719551563,1,80,-0.029161429032683372,1.5620002746582031,0.10497774183750153,-10.480321884155273,,,,,,,
246,1.3341727256774902,0.00011358967458363622,0.020282795652747154,0.017504941672086716,500,40000,-0.008069619536399841,1.9538156986236572,0.1060558557510376,0.40436631441116333,177.09,1.38,,,,,
241,1.3528797626495361,0.050791122019290924,0.020251823589205742,0.01724543608725071,1000,80000,-0.00598867004737258,1.945310115814209,0.06025503948330879,-0.008315682411193848,180.28,1.39,,,,,
,,,,,,,,,,,,,141,100080,-1.287355661392212,,
258,1.3825438022613525,0.036315131932497025,0.020143218338489532,0.017270207405090332,1,110080,0.045661021023988724,1.9467823505401611,0.020331349223852158,0.04027038812637329,180.25,1.34,,,,,
209,1.373178482055664,0.03403668478131294,0.014997899532318115,0.017214367166161537,500,150000,-0.03464836627244949,1.9764405488967896,0.024375494569540024,-0.002935647964477539,169.8,1.13,,,,,
214,1.3827190399169922,0.0014102866407483816,0.00016518284974154085,0.01745428331196308,1000,190000,-0.01854417845606804,1.9991614818572998,0.023889515548944473,-0.0011786222457885742,165.88,1.02,,,,,
,,,,,,,,,,,,,368,210080,0.0006459951400756836,1.0344827586206897,169.8448275862069
234,1.3846054077148438,0.0016659470275044441,9.184240479953587e-05,0.017320362851023674,1,220080,-0.021513277664780617,1.9964803457260132,0.027805158868432045,-0.004718184471130371,185.16,1.47,,,,,
222,1.384417176246643,0.025418048724532127,9.588299872120842e-05,0.01737053319811821,500,260000,0.01840306632220745,1.9985737800598145,0.018953777849674225,0.0006344914436340332,179.56,1.3,,,,,
217,1.3841207027435303,0.0381513349711895,3.557929449016228e-05,0.017098288983106613,1000,300000,0.030945539474487305,1.9973464012145996,0.024334628134965897,0.00038039684295654297,179.86,1.39,,,,,
,,,,,,,,,,,,,335,320080,0.0005646944046020508,1.23,175.51
222,1.3857953548431396,0.005514609627425671,9.644812234910205e-05,0.017271893098950386,1,330080,-0.038718122988939285,1.9973610639572144,0.023502502590417862,-0.0034815073013305664,175.83,1.22,,,,,
215,1.383067011833191,0.003582798410207033,0.00012445685570128262,0.0173358041793108,500,370000,-0.03329366073012352,1.999025583267212,0.02186775393784046,-0.007149815559387207,183.87,1.43,,,,,
215,1.3824809789657593,0.042696136981248856,5.631200110656209e-05,0.0174443107098341,1000,410000,-0.0008655175333842635,1.998214840888977,0.021373003721237183,0.00012809038162231445,181.87,1.38,,,,,
,,,,,,,,,,,,,408,430080,0.0015958547592163086,1.38,180.95
237,1.3824107646942139,4.79397476738086e-06,9.639162453822792e-05,0.01717340759932995,1,440080,-0.0022714657243341208,1.9973913431167603,0.032074615359306335,-1.3326189517974854,171.31,1.11,,,,,
217,1.381649136543274,0.04894300550222397,3.0921761208446696e-05,0.017268314957618713,500,480000,0.05562147498130798,1.9965862035751343,0.023157741874456406,0.0003725290298461914,166.4,0.98,,,,,
219,1.3832004070281982,0.0015445497119799256,9.374650107929483e-05,0.017525644972920418,1000,520000,-0.018316103145480156,1.999572992324829,0.025825243443250656,-0.005850553512573242,176.64,1.21,,,,,
,,,,,,,,,,,,,404,540080,0.001252293586730957,1.27,177.18
214,1.3861007690429688,0.002041153609752655,1.6125499314512126e-05,0.017220770940184593,1,550080,-0.0245230533182621,1.9953854084014893,0.024203691631555557,-0.004978775978088379,177.37,1.24,,,,,
211,1.383363962173462,0.005505801178514957,0.0004341179155744612,0.017304662615060806,500,590000,-0.04149090498685837,1.9971107244491577,0.025985604152083397,-0.0060062408447265625,174.6,1.18,,,,,
216,1.3757898807525635,0.0009046553750522435,9.765624781721272e-06,0.017385074868798256,1000,630000,-0.015856992453336716,1.9991395473480225,0.026661932468414307,-0.008569478988647461,184.26,1.4,,,,,
,,,,,,,,,,,,,416,650080,0.002305746078491211,1.16,171.46
211,1.3809149265289307,0.01941021718084812,5.8167584938928485e-05,0.017438653856515884,1,660080,-0.03580884635448456,1.999269962310791,0.027869468554854393,-0.0007231235504150391,181.98,1.32,,,,,
228,1.383641242980957,0.09074636548757553,0.0001068435885827057,0.01755722425878048,500,700000,0.07786816358566284,1.9996894598007202,0.0296461284160614,0.00014358758926391602,186.47,1.46,,,,,
225,1.3858191967010498,0.0022840697783976793,0.00014768907567486167,0.017217837274074554,1000,740000,-0.021138189360499382,1.9957094192504883,0.02592613734304905,-0.009169220924377441,182.51,1.39,,,,,
,,,,,,,,,,,,,376,760080,-0.009507060050964355,1.5,185.73
219,1.3842713832855225,0.002096639247611165,5.2627070544986054e-05,0.017304619774222374,1,770080,-0.021385015919804573,1.9989479780197144,0.02853488363325596,-0.008723616600036621,176.66,1.27,,,,,
223,1.3846256732940674,0.037501782178878784,7.131021266104653e-05,0.017324363812804222,500,810000,0.03540623188018799,1.9991185665130615,0.027642637491226196,0.0005104541778564453,179.4,1.29,,,,,
222,1.3815701007843018,0.050497300922870636,8.775329479249194e-05,0.0173862986266613,1000,850000,0.043764736503362656,1.9977331161499023,0.029094120487570763,0.0010607242584228516,181.17,1.42,,,,,
,,,,,,,,,,,,,437,870080,0.0001990795135498047,1.36,179.88
249,1.3836050033569336,0.07431893050670624,0.00011534082295838743,0.01735685020685196,1,880080,0.07672605663537979,1.9959383010864258,0.024545522406697273,0.0003758072853088379,172.46,1.1,,,,,
236,1.382183313369751,0.028363993391394615,4.7986566642066464e-05,0.017362667247653008,500,920000,0.001098771346732974,1.9984246492385864,0.026438962668180466,5.1140785217285156e-05,186.92,1.48,,,,,
239,1.3846937417984009,0.0014089045580476522,7.366562931565568e-05,0.01741817593574524,1000,960000,-0.016531195491552353,2.000514030456543,0.02396375499665737,-0.006881356239318848,172.75,1.13,,,,,
,,,,,,,,,,,,,386,980080,-0.001458883285522461,1.17,172.71
244,1.3796039819717407,0.002471577376127243,4.9517293518874794e-05,0.01741849072277546,1,990080,-0.02746444381773472,1.9982171058654785,0.022121556103229523,-0.007736682891845703,172.28,1.14,,,,,
231,1.3822888135910034,0.000706777791492641,0.00022135551262181252,0.017508601769804955,500,1030000,-0.011126377619802952,1.9987902641296387,0.02836204133927822,-0.02708446979522705,172.7,1.2,,,,,
219,1.381983757019043,0.02460138127207756,2.8085929443477653e-05,0.017369069159030914,1000,1070000,0.029642730951309204,1.9994220733642578,0.028324738144874573,0.0019304752349853516,178.87,1.36,,,,,
,,,,,,,,,,,,,362,1090080,-0.024289250373840332,1.26,175.02
235,1.3813518285751343,0.03784070163965225,7.501189975300804e-05,0.01742098666727543,1,1100080,0.02237119898200035,1.9981584548950195,0.023640315979719162,0.0006183981895446777,171.59,1.19,,,,,
219,1.3838717937469482,0.0075356303714215755,7.824834756320342e-05,0.017566082999110222,500,1140000,-0.050044406205415726,2.000239849090576,0.026436198502779007,-0.0008118152618408203,167.01,0.99,,,,,
218,1.3849090337753296,7.319854194065556e-05,0.0001588201557751745,0.0172520000487566,1000,1180000,-0.010670917108654976,1.9957513809204102,0.03040052019059658,-0.04124248027801514,178.62,1.25,,,,,
,,,,,,,,,,,,,495,1200080,-0.0038489103317260742,1.17,171.47
293,1.3858845233917236,0.04075297713279724,6.417326221708208e-05,0.017298197373747826,1,1210080,0.018285442143678665,1.998739242553711,0.030689317733049393,0.00018960237503051758,180.73,1.4,,,,,
241,1.384481430053711,0.051449526101350784,9.765625691215973e-06,0.01733347401022911,500,1250000,0.037173181772232056,1.9986141920089722,0.02640252187848091,0.0003211498260498047,171.0,1.12,,,,,
236,1.3817694187164307,0.008058425970375538,0.000159807299496606,0.017500339075922966,1000,1290000,-0.04639079421758652,1.9991673231124878,0.03153323009610176,-0.008206009864807129,178.17,1.27,,,,,
,,,,,,,,,,,,,369,1310080,0.001439511775970459,1.21,174.01
254,1.3827331066131592,0.027835270389914513,0.00012160315964138135,0.01744372770190239,1,1320080,0.0025005892384797335,1.999241828918457,0.02370954491198063,0.00025850534439086914,166.91,1.03,,,,,
233,1.384508728981018,0.04999767988920212,0.0001498572964919731,0.01747758872807026,500,1360000,0.047785092145204544,1.9973320960998535,0.02824195846915245,0.001919567584991455,186.33,1.44,,,,,
231,1.3853307962417603,0.00496362429112196,8.957852696767077e-05,0.017470374703407288,1000,1400000,-0.043319981545209885,1.9987473487854004,0.028883447870612144,-0.009227871894836426,177.71,1.26,,,,,
,,,,,,,,,,,,,324,1420080,0.0006148815155029297,1.38,180.93
265,1.384941816329956,0.06137648969888687,6.038041829015128e-05,0.017530597746372223,1,1430080,0.07065737247467041,1.99894380569458,0.023583296686410904,0.001013040542602539,179.99,1.36,,,,,
215,1.3853466510772705,0.10166987031698227,6.098364247009158e-05,0.017363034188747406,500,1470000,0.09189222007989883,1.999629259109497,0.026258084923028946,0.0005699396133422852,184.5,1.51,,,,,
212,1.3810780048370361,0.08480005711317062,4.9617578042671084e-05,0.017263052985072136,1000,1510000,0.10279432684183121,1.9979503154754639,0.026913922280073166,0.0003045797348022461,189.57,1.54,,,,,
