#{"t_start": 1611042590.814221, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
9.0,404,25.741335
0.0,129,30.297129
0.0,129,34.653674
9.0,404,49.921864
0.0,127,54.390226
5.0,350,67.59605
5.0,350,80.770655
6.0,398,95.996033
0.0,129,100.590058
3.0,236,109.50148
2.0,187,116.529429
0.0,129,121.01003
2.0,200,128.324851
4.0,299,139.432281
0.0,127,143.918164
3.0,214,151.981329
0.0,129,156.673704
0.0,127,161.290911
1.0,154,166.859195
1.0,155,172.560467
3.0,230,181.099545
0.0,125,185.509635
5.0,350,198.406002
2.0,202,205.768234
1.0,157,211.363071
4.0,297,222.634435
0.0,129,227.120408
5.0,352,240.697594
0.0,129,245.174966
0.0,129,249.893852
9.0,405,265.838101
2.0,224,273.771831
0.0,129,278.282185
0.0,127,282.790857
0.0,129,287.206082
3.0,231,295.735569
6.0,396,310.965714
3.0,272,321.076099
4.0,319,333.037858
0.0,127,337.463551
1.0,175,343.85548
0.0,125,348.17623
0.0,125,352.490214
0.0,129,357.067861
1.0,171,363.346275
0.0,129,367.791418
0.0,127,372.27481
0.0,129,376.772611
1.0,151,382.246402
1.0,155,387.868582
0.0,129,392.500192
1.0,157,398.117649
0.0,129,402.664596
2.0,224,410.88497
0.0,127,415.503356
6.0,381,429.865517
0.0,127,434.223669
