explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-69.44667053222656,80,24,0.7495424151420593,1,1.35901939868927,,
-0.0436253547668457,8000,351,0.9087580442428589,100,0.08155179023742676,0.9743589743589743,158.87179487179486
0.38146495819091797,16000,379,1.0690891742706299,200,0.033481646329164505,2.0789473684210527,195.57894736842104
0.05759233236312866,24000,387,1.2218031883239746,300,0.03475865721702576,2.33,206.23
0.01833266019821167,32000,392,1.2849225997924805,400,0.016941558569669724,2.22,205.15
-0.587610125541687,40000,393,0.8933578729629517,500,0.02754509076476097,1.8,194.65
-0.7555450201034546,48000,395,1.2239911556243896,600,0.5693436861038208,1.22,173.41
-1.2814435958862305,56000,396,1.0002161264419556,700,0.5132191181182861,1.51,182.24
-0.8773723840713501,64000,396,0.9702819585800171,800,0.3824019730091095,1.52,177.71
-0.5658888816833496,72000,397,0.9998404383659363,900,0.4983295500278473,1.08,163.63
-0.7991136312484741,80000,399,1.0078516006469727,1000,0.04424702003598213,1.23,173.45
0.26674503087997437,88000,399,1.2809382677078247,1100,0.055859435349702835,1.28,176.66
0.148393452167511,96000,399,1.3499938249588013,1200,0.08728855848312378,1.69,191.47
0.3842526078224182,100080,345,1.3663604259490967,1,0.0029733392875641584,2.09,205.39
0.25685304403305054,108000,410,1.3742454051971436,100,0.060525715351104736,2.46,217.35
0.30326586961746216,116000,408,1.3806321620941162,200,0.009282789193093777,2.12,205.31
0.37416934967041016,124000,406,1.3784087896347046,300,0.0009239136124961078,1.79,196.22
0.3759600520133972,132000,407,1.3804465532302856,400,0.0092084389179945,1.89,203.0
0.5911989212036133,140000,407,1.36906898021698,500,0.03117676079273224,1.59,191.69
0.6969697773456573,148000,407,1.3839137554168701,600,0.02324276603758335,1.31,179.56
0.7349393367767334,156000,406,1.3739222288131714,700,0.019299419596791267,1.28,177.39
0.7900001853704453,164000,405,1.375714659690857,800,0.009035871364176273,1.4,182.42
0.06321555376052856,172000,406,1.360107183456421,900,0.03334455564618111,1.54,188.07
