#{"t_start": 1610951209.1968083, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,383.114298
1.0,159,388.340671
3.0,270,397.363416
1.0,173,799.975429
0.0,129,804.249097
5.0,301,814.743072
2.0,218,1221.697113
1.0,155,1227.047411
1.0,168,1232.629357
0.0,125,1236.616724
4.0,302,1609.259065
0.0,127,1613.376751
4.0,280,1623.307414
1.0,177,2030.297937
0.0,129,2034.444179
4.0,299,2044.916296
0.0,129,2049.211022
1.0,158,2460.662114
0.0,127,2464.964836
2.0,201,2472.203969
2.0,201,2479.398111
4.0,304,2888.603392
0.0,127,2892.923849
0.0,127,2897.146187
0.0,123,2901.361205
3.0,250,3274.760033
1.0,157,3280.187287
3.0,248,3288.973916
1.0,178,3667.177054
1.0,153,3672.388578
1.0,173,3678.205043
1.0,170,3683.984516
2.0,205,4102.747845
1.0,171,4108.410136
5.0,331,4119.675283
0.0,125,4513.332758
0.0,125,4517.240765
3.0,256,4525.738958
1.0,157,4530.839378
2.0,183,4882.554064
5.0,344,4894.611885
3.0,275,5259.692612
2.0,202,5266.56274
3.0,266,5275.718816
2.0,200,5681.877576
1.0,171,5687.453117
0.0,127,5691.685314
0.0,129,5695.827218
5.0,345,6101.296668
2.0,206,6108.183046
1.0,173,6113.914326
0.0,129,6118.008862
0.0,129,6470.016819
3.0,250,6478.414428
1.0,173,6484.103807
2.0,200,6845.475096
1.0,173,6851.410222
2.0,224,6858.934275
0.0,125,6863.078854
2.0,187,7270.692633
5.0,331,7282.384497
1.0,175,7288.072099
0.0,129,7680.973946
0.0,127,7685.000291
0.0,129,7689.075222
2.0,202,7695.654259
0.0,123,7699.56278
3.0,253,8069.414641
1.0,157,8074.501882
0.0,127,8078.557616
3.0,253,8443.005366
0.0,129,8447.10484
2.0,206,8453.820036
3.0,234,8461.486734
1.0,174,8829.308388
1.0,171,8834.942732
0.0,127,8839.022345
1.0,173,8844.763961
0.0,129,9210.117482
1.0,173,9215.699491
5.0,326,9226.899767
1.0,173,9600.005111
1.0,173,9605.696108
0.0,127,9609.714064
2.0,186,9615.857113
0.0,125,9619.961943
3.0,255,9984.911602
0.0,127,9988.795465
0.0,125,9992.775206
