contrastive_loss,nupdates,value_loss,explained_variance,reconstruct_loss,policy_loss,atten_decoder_loss,policy_entropy,fps,atten_encoder_loss,total_timesteps,ep_len_mean,ep_reward_mean,fps_eval,explained_variance_eval,total_timesteps_eval,ep_len_mean_eval,ep_reward_mean_eval
1.6394548416137695,1,0.0007649651961401105,-2.567314386367798,0.015522290021181107,-0.024111397564411163,0.3987065851688385,1.3120681047439575,15,0.02512921206653118,80,,,,,,,
1.898825764656067,500,0.0001710660581011325,-0.06930184364318848,0.017120210453867912,-0.0050601651892066,0.28381383419036865,1.3644005060195923,263,0.025113359093666077,40000,175.29,1.17,,,,,
1.9759856462478638,1000,0.003542281687259674,-0.047808170318603516,0.01739509403705597,-0.030720150098204613,0.000807265576440841,1.383599877357483,269,0.02199460007250309,80000,181.52,1.36,,,,,
,,,,,,,,,,,,,167,-0.0007557868957519531,100080,,
1.9999563694000244,1,0.060069214552640915,6.496906280517578e-06,0.01725446991622448,0.08094918727874756,0.00034001003950834274,1.3834137916564941,248,0.0024073633830994368,110080,168.94,1.05,,,,,
1.9999890327453613,500,0.003527868539094925,-0.00018227100372314453,0.017234889790415764,-0.02987869642674923,0.0003281783137936145,1.376776099205017,282,0.0023836405016481876,150000,179.43,1.28,,,,,
1.9997127056121826,1000,0.06282708048820496,1.728534698486328e-05,0.0173092819750309,0.05190734937787056,0.0002959689882118255,1.381684422492981,270,0.0014212379464879632,190000,172.83,1.18,,,,,
,,,,,,,,,,,,,465,-9.5367431640625e-07,210080,180.90196078431373,1.3333333333333333
1.999864935874939,1,0.014475722797214985,8.940696716308594e-07,0.0173347145318985,-0.009242715314030647,0.00029088897281326354,1.3682571649551392,271,0.0009472655947320163,220080,177.08,1.28,,,,,
1.9994797706604004,500,0.05997246503829956,3.927946090698242e-05,0.017377376556396484,0.07763411104679108,0.00027800764655694366,1.3823223114013672,245,0.0,260000,176.31,1.26,,,,,
1.999521017074585,1000,0.036733854562044144,0.0001061558723449707,0.017350468784570694,0.05052466318011284,0.0003296489012427628,1.3762985467910767,244,0.0009667968261055648,300000,188.32,1.55,,,,,
,,,,,,,,,,,,,450,-5.257129669189453e-05,320080,187.26,1.48
