#{"t_start": 1611042783.5805345, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,26.045583
9.0,404,49.454412
9.0,404,72.971522
0.0,125,79.64852
2.0,202,90.648898
5.0,350,110.898887
0.0,125,117.756973
0.0,127,124.555735
0.0,129,131.506868
0.0,129,138.223918
2.0,202,149.665976
2.0,198,160.586284
0.0,129,167.379358
0.0,129,174.262106
2.0,200,185.349203
0.0,127,192.04006
0.0,129,198.793955
0.0,127,205.586717
6.0,397,228.118926
0.0,129,235.070619
2.0,203,246.238321
5.0,330,264.96358
3.0,254,279.334144
4.0,301,296.493327
