Wall time,Step,Value
1609697812.530987,3085,-123.28145599365234
1609697879.1046484,7085,-121.43849182128906
1609697936.941079,10227,-174.37193298339844
1609697981.8437924,12387,-64.85626983642578
1609698037.191005,14890,-42.01406478881836
1609698129.1621141,18890,-72.28797149658203
1609698225.0808423,22890,-17.337888717651367
1609698325.3391404,26890,-28.06888198852539
1609698430.3992372,30890,6.9164910316467285
1609698540.5106096,34890,45.15935134887695
1609698655.418127,38890,82.50912475585938
1609698751.655924,42085,90.00202178955078
1609698852.050959,45259,89.12444305419922
1609698868.7428403,45756,106.27495574951172
1609698951.8214273,48348,89.59906005859375
1609699044.754363,51190,93.71424102783203
1609699181.68072,55190,76.77152252197266
1609699280.750423,57982,91.16102600097656
1609699374.9933846,60508,-69.58897399902344
1609699430.7781036,62067,113.1530990600586
1609699553.8519452,65308,-156.98538208007812
1609699601.1991932,66576,150.7764129638672
1609699720.9964056,69660,125.93363189697266
1609699804.156427,71759,164.08592224121094
1609699929.2589867,74847,-121.82315063476562
1609700054.6548975,77888,167.32228088378906
1609700224.3771198,81888,133.92233276367188
1609700368.5035417,85195,144.69090270996094
1609700478.0988786,87602,-184.09231567382812
1609700573.690769,89763,147.3697052001953
1609700683.6087377,92110,111.18305206298828
1609700772.6988578,94045,32.91072082519531
1609700904.002245,96804,-87.8215103149414
1609701025.2270997,99302,249.08682250976562
1609701191.1036966,102716,174.170166015625
1609701356.373942,106121,150.73556518554688
1609701549.7422454,110121,183.83468627929688
1609701633.3165493,111812,135.72406005859375
1609701751.145741,114247,45.40778732299805
1609701902.991748,117367,-60.27730941772461
1609702005.9700844,119405,230.15118408203125
1609702162.4873745,122620,64.86189270019531
1609702207.7357461,123574,316.5813293457031
1609702402.5655885,127510,266.1074523925781
1609702594.996653,131510,269.46392822265625
1609702731.262852,134385,302.9356384277344
1609702878.5701642,137391,251.5556640625
1609703030.5064151,140426,301.63604736328125
1609703148.8516765,142814,256.028076171875
1609703253.1811783,144939,328.9988708496094
1609703356.8054564,147080,335.8639221191406
1609703450.6732397,148973,316.8034973144531
1609703534.0988226,150606,351.7272033691406
1609703619.0594609,152319,363.539306640625
1609703703.7105227,154066,355.9387512207031
1609703772.8766134,155422,307.65777587890625
1609703919.4617093,158408,357.0220031738281
1609704034.2323806,160782,339.37310791015625
1609704153.1355898,163130,338.7806091308594
1609704268.1782448,165475,361.18743896484375
1609704399.8603706,168115,345.8810119628906
1609704489.5782328,169908,458.6081848144531
1609704604.776082,172220,390.2679443359375
1609704674.9976366,173611,361.3731689453125
1609704798.599808,176125,408.5416564941406
1609704995.6880658,180125,341.3353576660156
1609705124.139116,182755,337.3528747558594
1609705276.3856595,185812,426.30279541015625
1609705414.0871978,188621,-28.669477462768555
1609705537.8666914,191174,432.0220642089844
1609705675.4780867,193932,364.438720703125
1609705827.0245044,197081,317.20245361328125
1609705999.9210744,200580,429.066650390625
