Wall time,Step,Value
1609697812.530987,3085,-937.5189208984375
1609697879.1046484,7085,-1089.03466796875
1609697936.941079,10227,-1057.47119140625
1609697981.8437924,12387,-1024.0531005859375
1609698037.191005,14890,-866.5917358398438
1609698129.1621141,18890,-759.93896484375
1609698225.0808423,22890,-649.8980712890625
1609698325.3391404,26890,-515.6492919921875
1609698430.3992372,30890,-399.8916320800781
1609698540.5106096,34890,-298.15380859375
1609698655.418127,38890,-199.7346649169922
1609698751.655924,42085,-125.11628723144531
1609698852.050959,45259,-67.67982482910156
1609698868.7428403,45756,-54.35359191894531
1609698951.8214273,48348,-13.086618423461914
1609699044.754363,51190,13.221687316894531
1609699181.68072,55190,50.040348052978516
1609699280.750423,57982,96.61351013183594
1609699374.9933846,60508,115.57464599609375
1609699430.7781036,62067,134.4407958984375
1609699553.8519452,65308,140.789306640625
1609699601.1991932,66576,150.72987365722656
1609699720.9964056,69660,194.5489044189453
1609699804.156427,71759,221.1363067626953
1609699929.2589867,74847,227.6230926513672
1609700054.6548975,77888,313.85528564453125
1609700224.3771198,81888,428.67462158203125
1609700368.5035417,85195,523.767578125
1609700478.0988786,87602,579.4745483398438
1609700573.690769,89763,603.9288940429688
1609700683.6087377,92110,637.1705932617188
1609700772.6988578,94045,658.0855712890625
1609700904.002245,96804,649.92822265625
1609701025.2270997,99302,680.322265625
1609701191.1036966,102716,709.4667358398438
1609701356.373942,106121,708.2484741210938
1609701549.7422454,110121,742.013427734375
1609701633.3165493,111812,743.8023071289062
1609701751.145741,114247,753.22412109375
1609701902.991748,117367,761.965087890625
1609702005.9700844,119405,796.2723388671875
1609702162.4873745,122620,820.62451171875
1609702207.7357461,123574,810.57568359375
1609702402.5655885,127510,876.5540161132812
1609702594.996653,131510,950.9822387695312
1609702731.262852,134385,1021.148681640625
1609702878.5701642,137391,1096.216552734375
1609703030.5064151,140426,1140.4014892578125
1609703148.8516765,142814,1180.109375
1609703253.1811783,144939,1229.943603515625
1609703356.8054564,147080,1243.1884765625
1609703450.6732397,148973,1236.0030517578125
1609703534.0988226,150606,1230.416259765625
1609703619.0594609,152319,1266.2510986328125
1609703703.7105227,154066,1277.5517578125
1609703772.8766134,155422,1297.6539306640625
1609703919.4617093,158408,1359.115234375
1609704034.2323806,160782,1436.1939697265625
1609704153.1355898,163130,1466.5130615234375
1609704268.1782448,165475,1467.62841796875
1609704399.8603706,168115,1527.3511962890625
1609704489.5782328,169908,1536.1973876953125
1609704604.776082,172220,1593.273193359375
1609704674.9976366,173611,1628.3983154296875
1609704798.599808,176125,1692.809814453125
1609704995.6880658,180125,1797.2027587890625
1609705124.139116,182755,1846.3875732421875
1609705276.3856595,185812,1940.6668701171875
1609705414.0871978,188621,1952.742919921875
1609705537.8666914,191174,1948.5032958984375
1609705675.4780867,193932,1980.0496826171875
1609705827.0245044,197081,2022.19580078125
1609705999.9210744,200580,2078.328857421875
1609706191.8071625,204416,2076.70947265625
1609706345.2641335,207519,2143.784912109375
1609706482.1000931,210395,2199.4130859375
1609706576.7386458,212260,2219.64697265625
1609706753.9387436,215846,2327.58447265625
1609706949.9289014,219846,2409.069580078125
1609707136.7987905,223693,2558.402587890625
1609707332.0402415,227693,2698.44140625
1609707517.1200936,231451,2789.21337890625
1609707692.9350796,235003,2864.295654296875
1609707850.3984303,238255,2878.00390625
1609707997.1172504,241289,2962.461669921875
1609708158.5065563,244574,3028.576904296875
1609708266.6861858,246709,3053.667724609375
1609708418.1622963,249882,3047.890380859375
1609708583.2243419,253226,3159.02783203125
1609708747.5365984,256605,3228.283203125
1609708898.1848571,259779,3225.744873046875
1609709071.0569873,263369,3301.17138671875
1609709210.32933,266253,3323.23779296875
1609709293.9677181,267954,3304.608642578125
1609709463.2759323,271449,3386.936279296875
1609709613.4164982,274525,3421.348388671875
1609709786.941104,278129,3423.537353515625
1609709931.436379,281195,3427.443359375
1609710109.0382955,284865,3541.458984375
1609710295.7118294,288757,3606.270751953125
1609710426.5376048,291451,3623.1875
1609710589.3367827,294820,3697.35888671875
1609710728.2376144,297701,3689.49169921875
1609710900.8765717,301384,3736.09619140625
1609711081.8900068,305101,3749.89990234375
1609711235.5609975,308319,3725.90380859375
1609711374.2970357,311214,3707.70068359375
1609711541.1203828,314764,3729.64501953125
1609711720.4597445,318520,3831.286376953125
1609711904.601032,322421,3831.36279296875
1609712075.4407876,326079,3862.995849609375
1609712249.7632127,329795,3964.75146484375
1609712349.7485304,331829,3996.15380859375
1609712478.8687134,334532,3977.6025390625
1609712565.0639722,336333,3903.41552734375
1609712641.9070203,337997,3842.2255859375
1609712831.654741,341996,3878.091796875
1609712956.6789618,344564,3871.20751953125
1609713147.2253993,348564,4014.153564453125
1609713332.5694664,352473,4056.71240234375
1609713469.399083,355338,3988.07177734375
1609713650.2223942,359199,4064.9521484375
1609713831.3572168,362962,4117.44580078125
1609713984.4657295,366161,4106.6689453125
1609714142.120594,369406,4087.0439453125
1609714290.3150687,372557,4127.0234375
1609714404.9493756,374901,4100.3681640625
1609714516.6513839,377285,4077.76123046875
1609714691.65723,380931,4096.66162109375
1609714871.446718,384722,4043.454833984375
1609714986.2553852,387183,4022.4482421875
1609715142.3922215,390411,4044.283447265625
1609715333.0935352,394411,4082.465576171875
1609715410.9165952,396068,3975.137939453125
1609715600.322569,400020,4054.763427734375
1609715752.3061314,403247,4043.55029296875
1609715842.9179003,405165,3954.15478515625
1609716018.2057648,408884,4058.4013671875
1609716204.359324,412769,4132.43896484375
1609716366.32755,416187,4228.8544921875
1609716538.398448,419723,4266.3720703125
1609716667.199088,422413,4203.86328125
1609716831.9708965,425842,4263.876953125
1609716998.1835911,429369,4235.6357421875
1609717100.2940307,431466,4137.7578125
1609717267.3282654,434981,4257.36767578125
1609717423.4301152,438248,4231.49609375
1609717580.6834898,441561,4218.64306640625
1609717722.1004212,444559,4217.92138671875
1609717908.4795897,448417,4257.8486328125
1609718097.5666687,452417,4312.8505859375
1609718254.6024442,455775,4379.6337890625
1609718439.6730132,459660,4413.8564453125
1609718611.1161509,463205,4413.07763671875
1609718767.7585244,466512,4467.560546875
1609718957.4474652,470512,4553.31201171875
1609719080.7763398,473123,4520.91259765625
1609719265.4296277,477047,4522.54248046875
1609719441.5338538,480760,4642.95361328125
1609719617.5957308,484484,4634.4658203125
1609719779.6121788,487818,4653.2822265625
1609719912.7712123,490670,4705.142578125
1609720103.105053,494670,4667.6689453125
1609720212.825978,496956,4567.18212890625
1609720383.3753495,500547,4566.51806640625
1609720567.2283034,504478,4661.16845703125
1609720754.6289034,508478,4747.0732421875
1609720883.582081,511129,4704.35546875
1609721031.3970416,514238,4689.7451171875
1609721211.2418675,518052,4789.88818359375
1609721320.2302845,520309,4723.04052734375
1609721466.95715,523466,4718.31591796875
1609721637.0176694,527025,4728.79931640625
