Wall time,Step,Value
1609828926.201472,73,0.5348749756813049
1609828926.5032032,144,-0.8808144927024841
1609828931.408765,381,0.7816106081008911
1609828941.6754885,972,22.16925811767578
1609828956.631414,1814,75.3152847290039
1609828973.9071484,2864,99.00489807128906
1609828988.3006523,3656,127.9541015625
1609829000.1342542,4326,143.7399444580078
1609829012.7712142,5070,145.0115966796875
1609829024.5351734,5730,136.8942108154297
1609829033.3318639,6295,134.74737548828125
1609829047.3674095,7098,142.2200469970703
1609829062.7510197,7984,153.9230499267578
1609829073.0682082,8545,154.2301483154297
1609829081.8961647,9086,158.62376403808594
1609829090.6414502,9598,159.15780639648438
1609829099.2245283,10083,161.3374786376953
1609829109.498723,10666,165.914306640625
1609829118.0221918,11154,167.3522491455078
1609829128.1923845,11727,167.4485321044922
1609829136.9372363,12248,169.49253845214844
1609829147.1596022,12823,172.048095703125
1609829155.7203434,13302,172.2506103515625
1609829163.0559998,13767,171.8832244873047
1609829176.7073176,14508,172.9034881591797
1609829185.306151,15000,181.31716918945312
1609829192.440181,15472,189.52798461914062
1609829201.1292763,15941,197.21722412109375
1609829209.8023183,16460,202.06170654296875
1609829218.2878108,16919,197.49615478515625
1609829225.4225833,17398,196.8096160888672
1609829235.6055045,17933,192.41250610351562
1609829245.9951627,18551,189.87176513671875
1609829254.446961,19068,192.28855895996094
1609829264.8045864,19642,200.50482177734375
1609829275.3607626,20291,208.16427612304688
1609829285.3734038,20827,209.31976318359375
1609829294.2299438,21348,206.61769104003906
1609829308.017767,22162,209.76817321777344
1609829322.1705277,22992,212.95361328125
1609829334.046924,23648,217.7310028076172
1609829344.5571558,24299,223.14768981933594
1609829361.671076,25239,229.6477813720703
1609829375.3599076,26031,236.8919677734375
1609829385.947228,26689,244.0447235107422
1609829397.656132,27317,248.8297119140625
1609829406.2425303,27820,249.90072631835938
1609829413.5876875,28290,251.51666259765625
1609829427.23968,29024,258.81884765625
1609829441.1687746,29869,267.1391906738281
1609829453.0055408,30543,270.23388671875
1609829465.393681,31284,275.0
1609829477.4261065,31932,278.928466796875
1609829486.1513338,32455,279.6949157714844
1609829496.8266916,33058,285.00994873046875
1609829507.3041925,33652,288.3622741699219
1609829519.3577971,34353,293.7648620605469
1609829531.2627037,35008,300.3904724121094
1609829543.364346,35705,307.0945739746094
1609829553.9363554,36373,310.4049987792969
1609829565.9181933,37031,311.7120361328125
1609829577.9811537,37703,315.3499450683594
1609829590.2984223,38452,321.2517395019531
1609829602.5950358,39173,327.1858825683594
1609829614.6851528,39884,330.6672058105469
1609829628.4606242,40646,334.69476318359375
1609829642.2857425,41441,338.3371887207031
1609829654.4297574,42137,337.16778564453125
1609829668.4482665,42938,337.4755554199219
1609829682.132144,43728,339.3575744628906
1609829694.5697246,44497,341.920166015625
1609829709.9792185,45392,349.6035461425781
1609829723.7228787,46146,355.6112976074219
1609829738.9247692,47013,359.28070068359375
1609829756.253558,48039,359.9681701660156
1609829771.7325878,48905,365.8368835449219
1609829785.5916119,49731,368.6506042480469
1609829795.947785,50336,367.9810485839844
1609829806.629943,50998,372.83734130859375
1609829821.6064553,51809,376.5227355957031
1609829834.040712,52584,379.1248474121094
1609829852.7937386,53609,383.8837585449219
1609829865.1878324,54394,386.32476806640625
1609829880.6688433,55262,387.1094970703125
1609829896.1986089,56146,390.0794677734375
1609829908.33046,56830,390.2043762207031
1609829920.3794768,57504,390.3710021972656
1609829934.5342212,58361,391.5889892578125
1609829946.4833531,59059,391.17950439453125
1609829958.757799,59789,389.72802734375
1609829972.4913602,60554,389.8467102050781
1609829984.861834,61278,387.74798583984375
1609829998.2900784,62003,388.6880798339844
1609830008.84892,62675,387.3161926269531
1609830022.6693196,63471,387.6773376464844
1609830034.68525,64160,387.69439697265625
1609830045.0274544,64749,382.1938171386719
1609830055.523994,65387,381.7608337402344
1609830065.51001,65905,375.63592529296875
1609830077.7636592,66642,375.4349670410156
1609830088.1999664,67225,370.2131042480469
1609830100.3170383,67986,369.7021179199219
1609830112.378303,68655,372.91162109375
1609830124.274813,69311,373.6001281738281
1609830134.4894297,69900,370.0047912597656
1609830146.806049,70640,371.152587890625
1609830162.598517,71576,372.025390625
1609830178.3383825,72471,371.7647705078125
1609830193.893743,73355,374.0559387207031
1609830209.4809296,74214,374.394287109375
1609830221.7827332,74945,377.185791015625
1609830237.2673657,75822,380.4395751953125
1609830249.3406227,76516,379.5478515625
1609830257.9274151,77000,374.65045166015625
1609830271.9860528,77851,379.9717102050781
1609830284.08906,78541,381.1197814941406
1609830298.0638268,79338,384.1954345703125
1609830306.7767143,79887,380.54681396484375
1609830318.7905807,80540,382.5578308105469
1609830330.6356966,81228,382.8802490234375
1609830342.8311563,81926,385.5379638671875
1609830354.8802543,82621,391.2586975097656
1609830365.2256691,83278,392.59814453125
1609830375.5889575,83899,395.432373046875
1609830385.9380188,84443,392.2147521972656
1609830396.5582805,85080,395.30230712890625
1609830410.1925328,85835,397.31109619140625
1609830422.3223898,86556,401.4110107421875
1609830434.369546,87244,403.9523010253906
1609830446.5475264,87923,408.61505126953125
1609830457.1916032,88593,409.66546630859375
1609830469.1817312,89249,406.987060546875
1609830479.813373,89899,406.6840515136719
1609830493.5119214,90623,406.30694580078125
1609830505.670915,91311,406.4925231933594
1609830518.0647516,92089,410.7772521972656
1609830530.1838098,92751,409.465087890625
1609830544.279654,93577,415.93505859375
1609830557.8724966,94332,423.3202209472656
1609830571.951778,95134,422.5331115722656
1609830586.0056374,95990,426.3122863769531
1609830599.8893478,96787,428.5548400878906
1609830616.9462283,97737,442.20928955078125
1609830632.5335298,98633,449.6114807128906
1609830646.6408257,99490,456.1879577636719
1609830661.967824,100314,458.6947021484375
1609830677.5417843,101235,467.3037109375
1609830691.3971865,102003,471.5123291015625
1609830703.6075652,102710,474.3325500488281
1609830719.7608707,103689,485.9070739746094
1609830736.8539226,104696,497.2532653808594
1609830752.111822,105509,501.8575744628906
1609830768.3860111,106453,509.664306640625
1609830787.4364104,107537,526.0191650390625
1609830808.3193836,108708,545.4005126953125
1609830827.5376039,109854,564.1537475585938
1609830848.3808522,111026,581.5811157226562
1609830872.7430542,112414,607.8533325195312
1609830895.4115474,113708,629.1068725585938
1609830921.4933722,115264,648.068115234375
1609830950.8256495,116977,676.1631469726562
1609830972.7463484,118202,695.0514526367188
1609830990.206007,119274,704.9483642578125
1609831014.2678077,120610,732.2774047851562
1609831031.8675597,121671,747.1451416015625
1609831056.3835344,123079,768.48828125
1609831078.897081,124370,785.49609375
1609831096.2131813,125340,787.738525390625
1609831111.9738264,126284,793.8373413085938
1609831134.3725798,127512,808.4794921875
1609831158.7771342,128962,829.3663330078125
1609831179.9257677,130174,842.4013061523438
1609831205.9242015,131666,872.204345703125
1609831231.4605193,133101,904.451416015625
1609831252.3203795,134321,918.7786254882812
1609831272.971511,135518,930.951171875
1609831295.4716449,136830,952.0849609375
1609831330.4392216,138824,994.58349609375
1609831356.562928,140337,1015.8239135742188
1609831389.555917,142208,1051.0216064453125
1609831410.5267353,143419,1057.8760986328125
1609831434.8569207,144809,1072.612548828125
1609831457.535013,146192,1079.8975830078125
1609831479.9404805,147426,1083.571044921875
1609831507.9574873,149046,1103.603759765625
