Wall time,Step,Value
1609847183.5812588,108,0.13586150109767914
1609847183.699882,136,-2.1818344593048096
1609847183.905239,192,-3.4057815074920654
1609847215.0267847,1539,48.53143310546875
1609847232.7207518,2496,68.64884185791016
1609847244.282758,3066,63.19791793823242
1609847258.2597382,3789,76.55384826660156
1609847270.3127184,4357,76.106689453125
1609847282.3747983,4901,82.96615600585938
1609847292.903101,5438,97.05316162109375
1609847309.551995,6240,106.83348083496094
1609847326.5670369,7042,121.58751678466797
1609847346.3338861,7982,142.0550537109375
1609847368.6138434,8989,156.20782470703125
1609847384.218313,9658,159.60400390625
1609847390.930876,9950,155.72149658203125
1609847402.3847077,10419,156.72775268554688
1609847411.9458952,10841,160.12713623046875
1609847421.4156106,11249,162.44554138183594
1609847430.9051037,11668,162.47804260253906
1609847445.4609878,12248,164.3890838623047
1609847457.4337776,12700,166.7122802734375
1609847467.4274747,13106,167.67601013183594
1609847477.335672,13555,169.6465606689453
1609847492.2421212,14127,178.9232177734375
1609847505.0395262,14697,187.38490295410156
1609847519.8175447,15264,199.00233459472656
1609847563.7117963,16923,217.205810546875
1609847577.1102319,17440,220.3661651611328
1609847588.1620224,17899,227.4525909423828
1609847601.4637644,18371,227.62355041503906
1609847623.330945,19156,235.79783630371094
1609847637.4561596,19664,242.08412170410156
1609847659.4162338,20445,244.10348510742188
1609847673.5544791,20941,244.74542236328125
1609847699.43951,21826,245.46249389648438
1609847717.0027623,22481,243.07101440429688
1609847734.111942,23022,235.5603485107422
1609847760.7353878,23968,239.50506591796875
1609847802.4839551,25339,250.94834899902344
1609847826.8961644,26115,254.16229248046875
1609847848.795072,26874,261.2174987792969
1609847864.383231,27363,264.42620849609375
1609847886.4891367,28077,274.02142333984375
1609847902.4150276,28584,269.9971618652344
1609847937.2144,29636,276.32904052734375
1609847959.9237351,30351,280.3136291503906
1609847982.362175,31001,280.4425048828125
1609848002.4484904,31668,288.05926513671875
1609848028.8882914,32404,289.6337890625
1609848046.3224044,32987,287.518310546875
1609848069.6630142,33602,286.0172119140625
1609848096.5454564,34411,292.830078125
1609848117.5310695,35051,296.73931884765625
1609848148.682564,35977,314.1245422363281
1609848179.916388,36878,314.9163818359375
1609848197.9045427,37358,309.0859680175781
1609848222.8391747,38055,314.2623596191406
1609848251.459822,38812,322.0736389160156
1609848276.9184651,39551,326.1874084472656
1609848305.9873908,40321,330.8152770996094
1609848332.369587,41079,342.5868225097656
1609848351.333484,41590,341.01861572265625
1609848373.626099,42108,340.7880859375
1609848407.323471,43004,353.3650207519531
1609848445.3444679,44070,371.6437683105469
1609848476.0428207,44837,374.9664001464844
1609848503.3878918,45590,383.7762145996094
1609848541.4159205,46510,391.2307434082031
1609848573.2849848,47359,410.5345764160156
1609848597.126766,47976,409.7209167480469
1609848613.580174,48398,404.3146667480469
1609848653.6242123,49359,423.846923828125
1609848686.6144319,50181,430.53192138671875
1609848710.8212905,50773,429.9065856933594
1609848727.501969,51168,429.1548767089844
1609848756.712336,51856,433.4685974121094
1609848780.7891977,52444,433.0006103515625
1609848806.3471427,53053,437.4187927246094
1609848836.0032494,53712,431.4861145019531
1609848869.8702288,54506,439.6697692871094
1609848898.8033144,55256,454.7729797363281
1609848929.2599473,55964,457.7853698730469
1609848964.259313,56798,463.4986572265625
1609849007.1606214,57765,476.65716552734375
1609849045.6918132,58693,482.4786071777344
1609849073.1866767,59298,479.4727783203125
1609849109.8321807,60088,489.8096923828125
1609849148.711671,60920,500.3743591308594
1609849190.3136892,61895,506.4791564941406
1609849252.8668506,63243,514.7371215820312
1609849293.9307833,64133,522.5176391601562
1609849336.2921538,65039,529.9481201171875
1609849374.5126603,65882,528.45263671875
1609849408.3842118,66581,521.8604125976562
1609849465.6932483,67742,531.5076904296875
1609849504.528022,68528,544.796142578125
1609849538.885397,69244,534.3773803710938
1609849582.5368018,70136,537.2347412109375
1609849603.210702,70549,534.17919921875
1609849624.1937683,70992,534.9578247070312
1609849639.76508,71236,520.6415405273438
1609849684.699519,72154,531.566162109375
1609849720.369779,72827,532.5388793945312
1609849737.1132622,73196,522.0200805664062
1609849777.8139586,73910,519.3092041015625
1609849808.8102365,74574,516.4462890625
1609849835.3504007,75072,509.2988586425781
1609849882.2494435,75969,513.5182495117188
1609849931.065073,76892,513.1302490234375
1609849957.6806374,77328,499.33294677734375
1609850010.121412,78318,514.2757568359375
1609850038.0950067,78859,505.3763427734375
1609850070.10915,79451,496.2708740234375
1609850103.0590174,80093,484.8955993652344
1609850135.2809882,80605,457.8079833984375
1609850168.8456469,81269,448.5263366699219
1609850211.675563,82051,442.6825866699219
1609850266.5322986,83077,446.6413269042969
1609850294.6534138,83569,441.9186706542969
1609850338.3880582,84300,439.0176086425781
1609850378.251679,85039,438.931884765625
1609850417.9877164,85725,438.8310852050781
1609850447.1415975,86237,422.63116455078125
1609850470.889271,86694,422.0286560058594
1609850557.2067707,88184,444.19281005859375
1609850586.5402331,88642,425.11614990234375
